id,won_lottry,male,base_age,finish8th,use_fin_aid,school
2180,0,0,12,1,0,2
2183,0,1,14,0,0,3
2184,1,1,12,1,1,1
2185,0,1,11,1,0,4
2190,0,1,13,0,0,2
2193,1,1,12,1,1,2
2195,1,0,12,1,1,1
2201,0,0,14,1,0,1
2203,0,0,13,1,1,1
2208,0,1,12,0,0,5
2214,0,0,13,1,0,3
2217,0,0,11,0,0,1
2219,1,1,13,1,1,2
2222,0,0,14,0,0,5
2229,0,1,11,1,1,5
2230,0,1,13,1,0,3
2231,1,1,13,1,1,4
2233,0,1,11,0,0,1
2234,0,1,15,0,0,2
2237,0,0,12,0,0,2
2238,0,0,12,1,0,5
2239,0,0,14,0,0,1
2240,0,1,11,1,1,1
2246,0,0,11,1,1,2
2255,0,1,13,1,0,1
2263,0,0,10,1,0,3
2272,0,0,13,1,0,5
2273,1,0,11,1,1,3
2280,0,1,12,0,0,1
2283,0,0,11,1,1,3
2285,0,1,12,1,0,4
2295,0,1,12,1,0,1
2301,0,1,11,1,0,3
2304,0,1,14,0,0,2
2307,0,1,11,1,0,1
2314,1,1,11,1,1,2
2323,0,0,14,1,0,3
2324,1,0,12,0,1,4
2332,0,0,11,1,0,3
2335,0,0,14,0,0,1
2337,1,0,15,0,1,1
2338,0,0,12,0,0,1
2347,0,1,11,0,0,2
2348,1,1,12,0,1,1
2351,0,0,12,1,1,1
2361,1,1,11,1,1,3
2362,0,1,12,0,0,4
2377,0,1,12,1,0,5
2382,0,0,11,1,1,4
2385,1,1,13,1,1,1
2386,0,0,16,0,0,4
2387,0,0,11,1,1,5
2397,0,1,11,0,0,3
2398,0,1,11,1,0,3
2399,1,0,13,0,1,3
2403,1,0,12,1,1,4
2407,1,1,11,1,1,3
2416,0,0,11,1,0,1
2418,0,0,13,1,0,5
2422,0,0,12,1,0,5
2432,1,0,12,0,1,3
2433,0,0,11,1,0,5
2437,1,0,10,1,1,3
2438,0,1,11,1,1,4
2440,1,1,11,1,1,2
2441,1,0,11,1,1,4
2445,1,0,10,1,1,1
2452,1,1,14,0,1,4
2455,0,1,15,0,0,4
2456,0,0,11,0,0,1
2458,1,1,11,1,0,5
2460,0,1,11,1,1,4
2461,1,0,14,1,1,4
2465,1,1,14,1,1,2
2470,0,1,13,0,0,5
2472,0,1,14,0,0,3
2473,0,0,11,1,0,5
2474,0,0,11,1,0,5
2478,0,0,12,0,0,1
2481,1,1,11,1,1,3
2484,1,1,12,1,1,2
2493,1,1,13,0,1,5
2497,0,1,12,0,0,1
2503,0,1,12,0,0,2
2508,1,1,14,0,1,3
2510,0,0,12,0,0,4
2512,0,0,11,1,0,2
2515,0,0,13,0,0,4
2520,1,1,13,1,1,1
2522,0,0,14,0,0,1
2526,1,1,11,0,1,2
2534,0,0,14,1,0,3
2535,0,1,11,0,0,5
2536,0,0,12,0,0,5
2541,1,1,13,0,1,4
2543,0,1,12,1,0,2
2544,0,1,13,1,0,2
2553,0,0,11,1,1,1
2556,1,1,14,1,1,4
2559,0,1,14,1,0,2
2560,1,0,12,1,1,2
2561,0,0,12,1,0,3
2564,1,1,11,1,1,3
2567,0,1,11,0,0,5
2570,0,1,13,0,0,2
2571,0,0,11,1,0,3
2585,1,1,13,1,1,1
2588,1,1,15,1,1,1
2590,0,0,12,1,0,2
2597,0,1,11,0,1,5
2601,1,1,13,1,1,3
2603,1,1,12,0,1,5
2608,0,1,10,1,0,2
2612,0,1,11,1,0,5
2622,1,0,12,1,1,1
2636,1,0,11,1,1,1
2639,0,1,14,1,0,2
2642,0,0,12,1,0,3
2650,0,1,13,1,0,3
2664,0,1,12,1,1,5
2667,1,1,12,0,1,4
2671,0,0,9,1,0,1
2679,1,1,11,1,1,2
2690,0,0,15,1,1,2
2695,1,0,13,0,1,1
2702,1,0,14,1,1,1
2708,1,1,12,1,0,1
2711,1,1,13,1,1,1
2714,1,1,11,0,1,5
2720,1,1,13,1,1,4
2729,1,0,11,1,1,3
2730,1,1,11,1,1,2
2732,0,1,11,1,0,3
2734,0,0,12,1,0,5
2752,0,1,14,1,1,5
2761,1,0,10,1,1,1
2766,1,1,12,1,1,4
2779,0,0,11,1,0,3
2785,1,1,13,0,0,5
2786,1,0,13,0,1,5
2794,1,0,13,0,1,4
2818,1,1,11,0,1,3
2821,1,0,13,1,1,4
2828,1,0,12,1,1,3
2834,1,1,10,1,1,1
2837,1,1,12,1,1,2
2840,1,0,11,1,1,4
2860,0,0,13,0,0,3
2870,1,1,14,0,1,5
2884,1,0,15,1,1,4
2887,1,1,11,1,1,5
2888,1,1,10,0,1,5
2893,0,1,12,0,0,5
2914,1,0,12,1,1,4
2917,0,1,10,0,0,5
2918,1,0,10,1,1,3
2921,1,1,13,0,0,3
2923,0,0,11,0,0,5
2933,0,0,11,1,0,1
2938,1,0,13,1,1,4
2944,1,1,12,1,1,4
2973,1,1,11,1,1,1
2984,0,1,14,0,0,4
3010,0,0,12,1,1,4
3045,0,1,12,0,0,3
3055,1,0,12,1,1,3
3075,0,1,15,1,0,2
3077,0,1,14,1,1,1
3117,0,0,13,1,0,3
3142,0,0,11,1,1,4
3147,0,0,13,0,0,3
3156,0,1,13,0,0,4
3165,0,1,12,1,0,4
3203,0,0,11,1,1,1
3247,0,1,12,0,0,1
3272,0,1,15,0,0,4
3300,0,0,12,1,0,1
3303,0,0,11,1,0,3
3347,0,1,12,1,0,5
3373,0,0,12,1,0,1
3432,0,1,11,1,0,4
3438,1,0,10,1,1,1
3459,0,1,12,1,1,5
3558,1,1,12,1,1,3
3567,0,0,15,1,0,3
3581,1,0,13,1,1,4
3585,0,0,13,1,0,3
3586,0,0,14,0,0,1
3597,0,1,10,1,0,2
3649,1,1,12,0,1,1
3682,0,0,11,1,0,4
3683,0,1,13,0,0,4
3758,0,0,13,1,0,5
3776,0,1,12,1,0,2
3781,0,1,15,1,0,5
3793,1,0,12,1,1,5
3813,0,0,10,1,0,2
3819,0,0,15,1,0,1
3820,0,1,11,1,0,4
3824,0,0,11,1,0,3
3838,0,0,12,0,1,2
3860,0,0,11,1,0,4
3867,0,1,12,0,1,4
3891,0,1,11,0,1,4
3897,0,1,12,0,0,2
3902,0,0,14,1,1,3
3945,0,0,15,1,1,3
3997,1,0,13,0,1,5
4006,1,0,11,1,1,1
4022,0,0,13,1,0,5
4023,0,0,13,1,1,3
4030,0,1,11,1,0,5
